# Collision classes of the loopy polynomial L_G.
# Read from 124 result file(s) in res11.  The L-, Lhat- and XB-classes coincide.
#
# Non-isomorphic connected simple graphs on n = 11 vertices with equal
# L_G.  In this range the classes of the refined loopy polynomial Lhat_G
# and of the Tutte symmetric function XB_G are identical.
#
# Format:  n  m  graph6 [graph6 ...]   (class size = number of graph6 fields)
#
# classes    : 22499
# by size    : 22491 of size 2, 4 of size 3, 4 of size 4
# graphs     : 45010
# pairs      : 22527
# edge range : 13..42
#
11 17 J?ABAaIfDT? J?ABAaafC\?
11 17 J?ABAaIrDT? J?ABAaarC\?
11 17 J?ABAagJQx? J?ABAageax?
11 17 J?ABAagV@J_ J?ABAagVCd_
11 17 J?ABAagVBY? J?ABAagVEs?
11 17 J?ABAagXQx? J?ABAagsax?
11 17 J?ABAagYVI? J?ABAagpVQ?
11 17 J?ABAaoRdY? J?ABAaobbY?
11 17 J?ABAbAUUe? J?AE@bAYfE?
11 17 J?ABAb_VBJ? J?ABAb_VEd?
11 17 J?ABAb_e_x_ J?ABAb_eaw_
11 17 J?ABAec{DQ? J?ABAeolCs?
11 17 J?ABApochY? J?ABAqW[HM?
11 17 J?ABApoclQ? J?ABAqW[LE?
11 17 J?ABCfGJaJ? J?AEBApTfO?
11 17 J?ABEag]BI? J?BDA_Y{ES?
11 17 J?AE@`HwIy? J?AE@`HwMw?
11 17 J?AE@`HwMY? J?AE@`HwMq?
11 17 J?AEB?oLcu_ J?AEB?oLdq_
11 17 J?AEB?oNBL_ J?AEB?oNDe_
11 17 J?AEB?oNB\? J?AEB?oNDu?
11 17 J?AEBAocp\? J?AEBAocp]?
11 17 J?AEL_k[AY? J?AEN@WL?y?
11 17 J?B@`YIwCS_ J?`DD`gBaE_
11 17 J?B@dHgUCd? J?B@dIWUBD?
11 17 J?BD?pW[dQ? J?BD?poqPs?
11 17 J?BDA_gJQk_ J?BE@_gbV__
11 17 J?`@?bG\DF_ J?`@?bGkbJ_
11 17 J?`@?bG\Dd_ J?`@?bGkbh_
11 17 J?`@?bG\De_ J?`@?bGkbi_
11 17 J?`@?bG\Df? J?`@?bGkbj?
11 17 J?`@?bG\Le? J?`@?bG\db?
11 17 J?`@?bGgji_ J?`@?bGgjj?
11 17 J?`@?bgdPl? J?`@?bgdRc_
11 17 J?`@C`ckRR? J?`@C`oqRF?
11 17 J?`@CaWTFB_ J?`@CaWTFo_
11 17 J?`@CbCEZU? J?`@CbCE^c?
11 17 J?`@CbOFBF_ J?`@CbOFD{?
11 17 J?`@CbOmAM_ J?`@CbOx?u_
11 17 J?`@CbOmBI_ J?`@CbOx@q_
11 17 J?`@EQa\?j? J?`@EaaZ?r?
11 17 J?`@EQcP`s_ J?`@EQcP`u?
11 17 J?`@EQc[_f? J?`@E`gh_j?
11 17 J?`@E_i{CJ? J?`@E`gkcJ?
11 17 J?`@E_k]DE? J?`@EaoNBE?
11 17 J?`@E`gE`h_ J?`@E`gE`j?
11 17 J?`@EaKT@]? J?`@EaKTBd?
11 17 J?`@EaKtB`? J?`@`b_Elo?
11 17 J?`@dCwqAL? J?`DE`cKeo?
11 17 J?`@dFOLEg? J?`DEHoKdg?
11 17 J?`@eEKMBg? J?`DECwLAw?
11 17 J?`CPbC]@M? J?`D@`cu?m?
11 17 J?`D@bOJSk? J?`D@bORSk?
11 17 J?`DD`gFCB_ J?`DD`gFD@_
11 17 J?`DE`gL@k? J?`DE`gL@s?
11 18 J??CBbKZeq? J??CBbgTr[?
11 18 J??CEB`]Sl_ J??CEB`u`j_
11 18 J??CEEoI|i_ J??CFBOqon_
11 18 J??CF@wduF? J??CFBWLuF?
11 18 J??CFAYTvW? J??CFBWt`]?
11 18 J??E@aJRdV? J??E@aMWuU_
11 18 J??E@qdFa{? J??E@qdU`{?
11 18 J??ED?]kfX? J??EDBWh`|?
11 18 J??ED?ykfX? J??EDAqy@{_
11 18 J??EDb_NI]? J??EDb_VP\?
11 18 J?AA@BC[lr_ J?AA@BCkZt_
11 18 J?AA@BC]dr_ J?AA@BCmRt_
11 18 J?AA@BS]db_ J?AA@BSkZt?
11 18 J?AA@BS]dr? J?AA@BSmRt?
11 18 J?AA@BSiZs_ J?AA@BSiZt?
11 18 J?AA@bK}BY? J?AA@bgVVW?
11 18 J?AADAcwer_ J?AADAcwfw_
11 18 J?AADAp]S\? J?AADApz?v?
11 18 J?AADAp]UX? J?AADApzAr?
11 18 J?AADAsSqZ_ J?AADAsSvP_
11 18 J?AADAsVQV? J?AADAs}AV?
11 18 J?AADAsVQf? J?AADAs}Af?
11 18 J?AADBAw[z? J?AADBAw]x?
11 18 J?AADB_S|X_ J?AADB_shZ_
11 18 J?AADB_Utw_ J?AADB_u`y_
11 18 J?AADBoUtw? J?AADBou`y?
11 18 J?AADIWonH_ J?AADIWwND_
11 18 J?AADJAxH{? J?AADJ_wh{?
11 18 J?AADJBNBB_ J?AADJB]@F_
11 18 J?AADJBmE`_ J?AADb`fED_
11 18 J?AADJBuE`_ J?AADb`rED_
11 18 J?AAD`axBr? J?AAD`axDr?
11 18 J?AAD`d]@F_ J?AAD`dm@F_
11 18 J?AAD`hrFo? J?AAD`huEw?
11 18 J?AAD`wL`y? J?AAD`wLbq?
11 18 J?AADbc[`u? J?AADbc[`y?
11 18 J?AAEIaWdu_ J?AAEIaWex_
11 18 J?AAEIaX`v? J?AAEIaX`z?
11 18 J?AB?rCS]p_ J?AB?rOKmh_
11 18 J?AB?rc[Vo? J?AB?roYVg?
11 18 J?AB?vCsTF? J?`@ER_gri?
11 18 J?AB?vCsTT? J?`@ER_kbi?
11 18 J?AB?vOi`L_ J?ABAabF`\?
11 18 J?ABA_yheE_ J?AE@aksci_
11 18 J?ABA`Ybf__ J?ABA`YxCs_
11 18 J?ABA`Ybfg? J?ABA`YxC{?
11 18 J?ABA`Yefg? J?ABA`Y{C{?
11 18 J?ABA`Ysa[_ J?ABAbIqal?
11 18 J?ABA`YuEk? J?ABAbgpVQ?
11 18 J?ABA`iwVE? J?AE@akhdM?
11 18 J?ABAaIUfh? J?ABAb_Uc|?
11 18 J?ABAagHYx_ J?ABAagcix_
11 18 J?ABAagV@Z_ J?ABAagVCt_
11 18 J?ABAagVBJ_ J?ABAagVEd_
11 18 J?ABAagVJY? J?ABAagVMs?
11 18 J?ABAaihaM_ J?AE@adrFD?
11 18 J?ABAaoRdY_ J?ABAaobbY_
11 18 J?ABAbI]Al? J?ABAbgTeS_
11 18 J?ABAb_VBJ_ J?ABAb_VEd_
11 18 J?ABAb_VBZ? J?ABAb_VEt?
11 18 J?ABAec{@T_ J?ABAeol@T_
11 18 J?ABAec{Bw? J?ABAeolBw?
11 18 J?ABApoiOl_ J?ABAqW[HN?
11 18 J?ABApoiSd_ J?ABAqW[LF?
11 18 J?ABAqWpKj? J?ABE`KFSX_
11 18 J?ABAq[s_]? J?ABCpYt?]?
11 18 J?ABAq[s`Y? J?ABCpYt@Y?
11 18 J?ABAqceKi_ J?ABCrOJSj?
11 18 J?ABBb_TKu? J?ABBb_TLs?
11 18 J?ABCdSfEe? J?ABEDSfCm?
11 18 J?ABCfCT_z? J?ABEDcdfP?
11 18 J?ABCfCT`r? J?ABEDcddp?
11 18 J?ABCf_Tew? J?ABCf_TfW?
11 18 J?ABEagXRp? J?ABEagXUp?
11 18 J?ABEag{@Z? J?ABEag{BX?
11 18 J?ACJAXxAM_ J?AEBAXxBE_
11 18 J?AE@aLbaF_ J?AE@bDq_V_
11 18 J?AE@akbad_ J?AE@bcq_t_
11 18 J?AE@akbbD_ J?AE@bcq`T_
11 18 J?AE@bHxCY_ J?AEBAXxCi_
11 18 J?AEB?oNB\_ J?AEB?oNDu_
11 18 J?AEB@apPz? J?AEB@apTy?
11 18 J?AEBAXsRX? J?AEBAXsVW?
11 18 J?AEBApR_N_ J?AEBApRf@_
11 18 J?AEBApR_}? J?AEBApRfo?
11 18 J?AEBApT_}? J?AEBApTfo?
11 18 J?AEBApcp]? J?AEBBPZCi_
11 18 J?AEBAsgq]? J?AEBBD[dY?
